mode,selector_type,selector,mean_return,median_return,min_return,std_return,positive_folds,mean_trades,total_trades,mean_precision,mean_recall,mean_auc,auc_pass_rate,mean_drawdown,worst_drawdown,mean_sharpe,robust_score
threshold_regime_confidence_filtered,threshold,0.5,-5.906955408117885,-7.921941621879852,-16.045729546520114,8.660994846585433,0.3333333333333333,14.222222222222221,128.0,0.37672902631038163,0.13742847491011814,0.5200495243287728,0.5555555555555556,-12.49360447382545,-19.126775539079908,,-15.377940650667531
threshold_regime_confidence_filtered,threshold,0.55,-7.4734051584707215,-9.337761184139538,-17.426133759858214,7.576376432549215,0.2222222222222222,10.777777777777779,97.0,0.3473377000449967,0.11192648558235477,0.5200495243287728,0.5555555555555556,-11.958678976151727,-19.126775539079908,,-17.948468854197905
threshold_regime_confidence_filtered,threshold,0.6000000000000001,-5.053472824379982,-3.8562560779788897,-12.529252280279376,5.275086478833186,0.2222222222222222,8.777777777777779,79.0,0.31848306583870595,0.09328660994457615,0.5200495243287728,0.5555555555555556,-9.402349652494886,-17.83496882707345,,-10.988241108703123
threshold_regime_confidence_filtered,threshold,0.6500000000000001,-2.880061333557766,-0.5428621532595344,-9.985119661979775,4.922534986439672,0.3333333333333333,6.777777777777778,61.0,0.3891281833446281,0.07154899486201888,0.5200495243287728,0.5555555555555556,-7.309671887069955,-15.445112319199684,,-6.211739405625727
threshold_regime_confidence_filtered,threshold,0.7000000000000002,-2.156254697226719,0.0,-12.132839575900016,5.351479995829599,0.3333333333333333,5.0,45.0,0.343364493078693,0.05280909420542876,0.5200495243287728,0.5555555555555556,-5.803210284060859,-13.027465237392411,,-5.860667923492456
threshold_regime_confidence_filtered,threshold,0.7500000000000002,-1.041512969891083,0.0,-11.228676065419982,6.83744446972416,0.2222222222222222,4.111111111111111,37.0,0.3188608351265395,0.04037014626853138,0.5200495243287728,0.5555555555555556,-5.338034095977807,-13.88028801051201,,-5.113598659232673
threshold_regime_confidence_filtered,threshold,0.8000000000000003,-2.5003842639552505,0.0,-10.60074317651995,5.0625227702015625,0.1111111111111111,3.111111111111111,28.0,0.17878070231207746,0.028407832910017066,0.5200495243287728,0.5555555555555556,-5.202601976750518,-17.841022444236575,,-6.193978528413406
threshold_regime_confidence_filtered_auc_gated,threshold,0.5,-1.9088506838912167,0.0,-16.045729546520114,7.283036892327681,0.3333333333333333,7.666666666666667,69.0,0.21170405119823651,0.07936783371904982,0.5200495243287728,0.5555555555555556,-5.6816846634125655,-17.434480285912322,,-7.074375626936498
threshold_regime_confidence_filtered_auc_gated,threshold,0.55,-2.919251156557592,0.0,-17.426133759858214,6.981590324093609,0.2222222222222222,6.0,54.0,0.21498321613992813,0.06342705702987181,0.5200495243287728,0.5555555555555556,-5.9660628936368765,-17.976184862457767,,-8.576737733101103
threshold_regime_confidence_filtered_auc_gated,threshold,0.6000000000000001,-2.101263957526817,0.0,-9.923824370380977,4.183372636786862,0.2222222222222222,5.0,45.0,0.218531686642542,0.04829854747206332,0.5200495243287728,0.5555555555555556,-4.852445726356559,-16.390816860944657,,-5.183618764874332
threshold_regime_confidence_filtered_auc_gated,threshold,0.6500000000000001,-0.6132700405001287,0.0,-9.92727184372004,3.6124855399191977,0.3333333333333333,3.6666666666666665,33.0,0.2845718851607146,0.02840280353224676,0.5200495243287728,0.5555555555555556,-3.7335882555177995,-11.566470599101564,,-3.3315427197432714
threshold_regime_confidence_filtered_auc_gated,threshold,0.7000000000000002,-0.5019260185779115,0.0,-12.132839575900016,4.5388545480039335,0.3333333333333333,2.111111111111111,19.0,0.22169363364331918,0.013818155742831253,0.5200495243287728,0.5555555555555556,-2.4687528631338314,-12.45279418512415,,-4.003182882887232
threshold_regime_confidence_filtered_auc_gated,threshold,0.7500000000000002,0.3848791484908804,0.0,-11.228676065419982,6.034441522354723,0.2222222222222222,1.4444444444444444,13.0,0.25170261836928504,0.006252252029106089,0.5200495243287728,0.5555555555555556,-2.665866956532749,-11.50188236624501,,-3.4864558040083518
