mode,fold,selector,selector_type,auc,auc_gate_passed,proba_mean,proba_std,confidence_cut,confidence_allowed,precision,recall,signal_count,regime_allowed_count,regime_conf_allowed_count,trades,return_pct,win_rate,max_drawdown,sharpe,equity_final
threshold_unfiltered,1,0.5,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.3642720915448188,0.7091584158415841,1573,1604,741,46.0,-31.832284398835846,39.130434782608695,-39.09946630340796,,170.41928900291038
threshold_regime_filtered,1,0.5,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41295546558704455,0.504950495049505,988,1604,741,20.0,-14.621542056198347,40.0,-19.867039352945127,,213.44614485950413
threshold_regime_confidence_filtered,1,0.5,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41700404858299595,0.38242574257425743,741,1604,741,19.0,-12.00755131914043,42.10526315789473,-16.715191289431395,,219.98112170214893
threshold_unfiltered_auc_gated,1,0.5,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.3642720915448188,0.7091584158415841,1573,1604,741,46.0,-31.832284398835846,39.130434782608695,-39.09946630340796,,170.41928900291038
threshold_regime_filtered_auc_gated,1,0.5,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41295546558704455,0.504950495049505,988,1604,741,20.0,-14.621542056198347,40.0,-19.867039352945127,,213.44614485950413
threshold_regime_confidence_filtered_auc_gated,1,0.5,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41700404858299595,0.38242574257425743,741,1604,741,19.0,-12.00755131914043,42.10526315789473,-16.715191289431395,,219.98112170214893
threshold_unfiltered,1,0.55,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.38359375,0.6076732673267327,1280,1604,741,41.0,-29.03081670389667,39.02439024390244,-34.27129030533705,,177.42295824025834
threshold_regime_filtered,1,0.55,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.40941176470588236,0.4306930693069307,850,1604,741,21.0,-17.071796012639187,38.095238095238095,-20.548149608746826,,207.32050996840204
threshold_regime_confidence_filtered,1,0.55,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41700404858299595,0.38242574257425743,741,1604,741,19.0,-12.00755131914043,42.10526315789473,-16.715191289431395,,219.98112170214893
threshold_unfiltered_auc_gated,1,0.55,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.38359375,0.6076732673267327,1280,1604,741,41.0,-29.03081670389667,39.02439024390244,-34.27129030533705,,177.42295824025834
threshold_regime_filtered_auc_gated,1,0.55,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.40941176470588236,0.4306930693069307,850,1604,741,21.0,-17.071796012639187,38.095238095238095,-20.548149608746826,,207.32050996840204
threshold_regime_confidence_filtered_auc_gated,1,0.55,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41700404858299595,0.38242574257425743,741,1604,741,19.0,-12.00755131914043,42.10526315789473,-16.715191289431395,,219.98112170214893
threshold_unfiltered,1,0.6000000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.3970420932878271,0.4319306930693069,879,1604,741,31.0,-14.473454766118858,45.16129032258064,-19.34713942676578,,213.81636308470286
threshold_regime_filtered,1,0.6000000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.42586206896551726,0.3056930693069307,580,1604,741,20.0,-9.923824370380977,45.0,-16.390816860944657,,225.19043907404756
threshold_regime_confidence_filtered,1,0.6000000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.42586206896551726,0.3056930693069307,580,1604,741,20.0,-9.923824370380977,45.0,-16.390816860944657,,225.19043907404756
threshold_unfiltered_auc_gated,1,0.6000000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.3970420932878271,0.4319306930693069,879,1604,741,31.0,-14.473454766118858,45.16129032258064,-19.34713942676578,,213.81636308470286
threshold_regime_filtered_auc_gated,1,0.6000000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.42586206896551726,0.3056930693069307,580,1604,741,20.0,-9.923824370380977,45.0,-16.390816860944657,,225.19043907404756
threshold_regime_confidence_filtered_auc_gated,1,0.6000000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.42586206896551726,0.3056930693069307,580,1604,741,20.0,-9.923824370380977,45.0,-16.390816860944657,,225.19043907404756
threshold_unfiltered,1,0.6500000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41379310344827586,0.22277227722772278,435,1604,741,28.0,-11.599355395679334,46.42857142857143,-18.263322852164055,,221.00161151080167
threshold_regime_filtered,1,0.6500000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.45517241379310347,0.16336633663366337,290,1604,741,18.0,0.9337302533188109,55.55555555555556,-10.227716775278894,,252.33432563329703
threshold_regime_confidence_filtered,1,0.6500000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.45517241379310347,0.16336633663366337,290,1604,741,18.0,0.9337302533188109,55.55555555555556,-10.227716775278894,,252.33432563329703
threshold_unfiltered_auc_gated,1,0.6500000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.41379310344827586,0.22277227722772278,435,1604,741,28.0,-11.599355395679334,46.42857142857143,-18.263322852164055,,221.00161151080167
threshold_regime_filtered_auc_gated,1,0.6500000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.45517241379310347,0.16336633663366337,290,1604,741,18.0,0.9337302533188109,55.55555555555556,-10.227716775278894,,252.33432563329703
threshold_regime_confidence_filtered_auc_gated,1,0.6500000000000001,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.45517241379310347,0.16336633663366337,290,1604,741,18.0,0.9337302533188109,55.55555555555556,-10.227716775278894,,252.33432563329703
threshold_unfiltered,1,0.7000000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.4305555555555556,0.07673267326732673,144,1604,741,17.0,-1.3756748798002718,52.94117647058824,-9.616841312580625,,246.56081280049932
threshold_regime_filtered,1,0.7000000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.5777777777777777,0.06435643564356436,90,1604,741,10.0,3.0745183968192125,60.0,-6.080346085240585,,257.68629599204803
threshold_regime_confidence_filtered,1,0.7000000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.5777777777777777,0.06435643564356436,90,1604,741,10.0,3.0745183968192125,60.0,-6.080346085240585,,257.68629599204803
threshold_unfiltered_auc_gated,1,0.7000000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.4305555555555556,0.07673267326732673,144,1604,741,17.0,-1.3756748798002718,52.94117647058824,-9.616841312580625,,246.56081280049932
threshold_regime_filtered_auc_gated,1,0.7000000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.5777777777777777,0.06435643564356436,90,1604,741,10.0,3.0745183968192125,60.0,-6.080346085240585,,257.68629599204803
threshold_regime_confidence_filtered_auc_gated,1,0.7000000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.5777777777777777,0.06435643564356436,90,1604,741,10.0,3.0745183968192125,60.0,-6.080346085240585,,257.68629599204803
threshold_unfiltered,1,0.7500000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.5238095238095238,0.04084158415841584,63,1604,741,11.0,5.6113083997197695,63.63636363636363,-6.787498916240331,,264.0282709992994
threshold_regime_filtered,1,0.7500000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.7714285714285715,0.03341584158415842,35,1604,741,7.0,12.652504787898602,85.71428571428571,-4.804000726125102,,281.6312619697465
threshold_regime_confidence_filtered,1,0.7500000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.7714285714285715,0.03341584158415842,35,1604,741,7.0,12.652504787898602,85.71428571428571,-4.804000726125102,,281.6312619697465
threshold_unfiltered_auc_gated,1,0.7500000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.5238095238095238,0.04084158415841584,63,1604,741,11.0,5.6113083997197695,63.63636363636363,-6.787498916240331,,264.0282709992994
threshold_regime_filtered_auc_gated,1,0.7500000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.7714285714285715,0.03341584158415842,35,1604,741,7.0,12.652504787898602,85.71428571428571,-4.804000726125102,,281.6312619697465
threshold_regime_confidence_filtered_auc_gated,1,0.7500000000000002,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.7714285714285715,0.03341584158415842,35,1604,741,7.0,12.652504787898602,85.71428571428571,-4.804000726125102,,281.6312619697465
threshold_unfiltered,1,0.8000000000000003,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.4782608695652174,0.013613861386138614,23,1604,741,2.0,5.073875929478778,100.0,-3.796998655513184,,262.68468982369694
threshold_regime_filtered,1,0.8000000000000003,threshold,0.5752024670552162,True,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,1.0,0.012376237623762377,10,1604,741,2.0,5.103686978318956,100.0,-2.1721424640153253,,262.7592174457974
