fold,proba_mean,proba_std,confidence_cut,confidence_allowed,auc,auc_gate_passed,regime_allowed_count,regime_conf_allowed_count,test_size,test_base_rate
1,0.5288594961166382,0.13700132071971893,0.5699598923325538,True,0.5752024670552162,True,1604,741,2500,0.3232
2,0.3305146098136902,0.12961454689502716,0.36939897388219833,True,0.5271524579713625,True,1572,501,2500,0.3384
3,0.2697887122631073,0.15413296222686768,0.3160286009311676,True,0.5642739575454192,True,1636,650,2500,0.3448
4,0.2771029770374298,0.1429518312215805,0.31998852640390396,True,0.5415426001529567,True,1567,613,2500,0.3504
5,0.30126067996025085,0.12757167220115662,0.33953218162059784,True,0.47508981858531013,False,1437,649,2500,0.3888
6,0.367961585521698,0.12247626483440399,0.4047044649720192,True,0.504132502895373,False,1432,463,2500,0.3548
7,0.5363435745239258,0.22691601514816284,0.6044183790683746,True,0.4788536594179984,False,1549,490,2500,0.3064
8,0.49764999747276306,0.2514480948448181,0.5730844259262085,True,0.4852835649532375,False,1463,562,2500,0.3104
9,0.3600519597530365,0.13675254583358765,0.40107772350311277,True,0.5289146903820816,True,1438,556,2500,0.264
