mode,best_mean_return,best_median_return,best_psr,best_dsr,best_robust_score,configs
topk_regime_confidence_filtered_auc_gated,1.117622087239666,0.0,0.8074843317855392,3.333358107318584e-08,1.4178375890413215,5
topk_regime_filtered_auc_gated,0.7635042696953581,0.0,0.6869433695198385,2.4344749014304424e-08,0.08443602970743153,5
topk_unfiltered_auc_gated,0.7421953592041532,0.0,0.6756456424351074,1.1705430276159664e-11,-0.11809784813192663,5
topk_regime_filtered,-0.17515580097381228,3.010548360937446,0.46891446021157085,1.4438500747338088e-12,-0.784418450952804,5
topk_regime_confidence_filtered,-0.48777192914686274,2.037865746759883,0.42175643592005,9.228676353503318e-13,-2.232768689599794,5
threshold_regime_confidence_filtered_auc_gated,0.38487914849088056,0.0,0.571853360942445,1.2822689883015044e-11,-2.342749082084993,7
threshold_regime_filtered_auc_gated,0.38487914849088056,0.0,0.571853360942445,1.2822689883015044e-11,-2.342749082084993,7
threshold_unfiltered_auc_gated,-0.397476005751212,0.0,0.39371037603531417,1.0045805123933969e-14,-3.099958561337719,7
topk_unfiltered,0.04815442070399881,-1.898547896079401,0.5066456431472948,4.1010958500340804e-09,-4.247046696945859,5
threshold_regime_confidence_filtered,-1.041512969891083,0.0,0.34095108804707813,2.5624943897944274e-12,-4.43169648313083,7
threshold_regime_filtered,-1.041512969891083,0.0,0.34095108804707813,2.5624943897944274e-12,-4.43169648313083,7
threshold_unfiltered,-3.9355494101486204,0.0,0.03830990642884297,4.86332962303022e-12,-8.824490766891016,7
