mode,selector_type,selector,n_folds,mean_return_pct,median_return_pct,min_return_pct,std_return_pct,positive_folds,total_trades,mean_trades,mean_precision,mean_recall,mean_auc,mean_drawdown,worst_drawdown,mean_sharpe_bt,sharpe_fold,psr_gt_0,dsr,auc_pass_rate,robust_score_psr_dsr
threshold_regime_confidence_filtered,threshold,0.5,9.0,-5.906955408117885,-7.921941621879852,-16.045729546520114,8.660994846585433,0.3333333333333333,128.0,14.222222222222221,0.37672902631038163,0.13742847491011814,0.5200495243287728,-12.49360447382545,-19.126775539079908,,-0.6820181183281365,0.035953334359900384,1.5866229840019418e-16,0.5555555555555556,-15.30603398194773
threshold_regime_confidence_filtered,threshold,0.55,9.0,-7.4734051584707215,-9.337761184139538,-17.426133759858214,7.576376432549215,0.2222222222222222,97.0,10.777777777777779,0.3473377000449967,0.11192648558235477,0.5200495243287728,-11.958678976151726,-19.126775539079908,,-0.9864089020661491,0.008112197525572525,5.972620346145511e-17,0.5555555555555556,-17.93224445914676
threshold_regime_confidence_filtered,threshold,0.6000000000000001,9.0,-5.053472824379982,-3.8562560779788897,-12.529252280279376,5.275086478833186,0.2222222222222222,79.0,8.777777777777779,0.31848306583870595,0.09328660994457615,0.5200495243287728,-9.402349652494886,-17.83496882707345,,-0.9579886215434662,0.0035492200506846375,1.3632860638501619e-21,0.5555555555555556,-10.981142668601754
threshold_regime_confidence_filtered,threshold,0.6500000000000001,9.0,-2.880061333557766,-0.5428621532595344,-9.985119661979775,4.922534986439673,0.3333333333333333,61.0,6.777777777777778,0.3891281833446281,0.07154899486201888,0.5200495243287728,-7.309671887069955,-15.445112319199684,,-0.5850768641546683,0.022796226448344885,6.337063583961005e-25,0.5555555555555556,-6.166146952729037
threshold_regime_confidence_filtered,threshold,0.7000000000000002,9.0,-2.156254697226719,0.0,-12.132839575900016,5.351479995829599,0.3333333333333333,45.0,5.0,0.343364493078693,0.05280909420542876,0.5200495243287728,-5.803210284060859,-13.027465237392411,,-0.40292679761618944,0.08378049758613365,2.600413125143126e-22,0.5555555555555556,-5.693106928320189
threshold_regime_confidence_filtered,threshold,0.7500000000000002,9.0,-1.041512969891083,0.0,-11.228676065419982,6.83744446972416,0.2222222222222222,37.0,4.111111111111111,0.3188608351265395,0.04037014626853138,0.5200495243287728,-5.338034095977807,-13.88028801051201,,-0.15232488899951535,0.34095108804707813,2.5624943897944274e-12,0.5555555555555556,-4.43169648313083
threshold_regime_confidence_filtered,threshold,0.8000000000000003,9.0,-2.5003842639552505,0.0,-10.60074317651995,5.0625227702015625,0.1111111111111111,28.0,3.111111111111111,0.17878070231207746,0.028407832910017066,0.5200495243287728,-5.202601976750518,-17.841022444236575,,-0.4939008430090871,0.06474034267228139,2.2733668888810783e-19,0.5555555555555556,-6.064497843068843
threshold_regime_confidence_filtered_auc_gated,threshold,0.5,9.0,-1.9088506838912167,0.0,-16.045729546520114,7.28303689232768,0.3333333333333333,69.0,7.666666666666667,0.2117040511982365,0.07936783371904982,0.5200495243287728,-5.6816846634125655,-17.434480285912322,,-0.2620954297103859,0.18996169280066405,1.608452606271776e-19,0.5555555555555556,-6.69445224133517
threshold_regime_confidence_filtered_auc_gated,threshold,0.55,9.0,-2.919251156557592,0.0,-17.426133759858214,6.9815903240936095,0.2222222222222222,54.0,6.0,0.21498321613992816,0.06342705702987181,0.5200495243287728,-5.966062893636876,-17.976184862457767,,-0.4181355566629565,0.046676171078930885,3.290707036585075e-30,0.5555555555555556,-8.48338539094324
threshold_regime_confidence_filtered_auc_gated,threshold,0.6000000000000001,9.0,-2.101263957526817,0.0,-9.923824370380977,4.183372636786861,0.2222222222222222,45.0,5.0,0.218531686642542,0.04829854747206332,0.5200495243287728,-4.852445726356559,-16.390816860944657,,-0.502289453980065,0.02368947361831327,6.020299095054003e-31,0.5555555555555556,-5.136239817637705
